ARTWORK_TITLE,ARTIST,YEAR,MEDIUM,TYPE,DIMENSION,SUPPORT,FRAME,SIGNATURE,AUTHENTICITY,ABOUT,IMAGE_LOC,SElLER_ID,ARTWORK_ID
"Rosso intenso","Alessandra Bisi",2018,Painting,"Unique work","76 x 56.5 x 0.2 cm (Height x Width x Depth)","Painting on paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionWonderful work of the artist Alessandra Bisi, made with ink pigments on paper. The artwork needs a frame to be hung.
        

        Read more",NULL,1,255
"Buio oggi notte","Alessandra Bisi",2016,Painting,"Unique work","56.5 x 76 x 0.2 cm (Height x Width x Depth)","Painting on paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionWonderful work of the artist Alessandra Bisi, made with ink pigments on paper. The artwork needs a frame to be hung.
        

        Read more",NULL,1,256
"The devil is here #1","Alessandra Bisi",2018,Painting,"Unique work","24 x 35 x 0.1 cm (Height x Width x Depth)","Painting on paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,257
"Sereno Ghiaccio","Alessandra Bisi",1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,258
"Drammatico 1","Alessandra Bisi",2016,Painting,"Unique work","76.5 x 56 x 0.1 cm (Height x Width x Depth)","Painting on paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionNeeds a frame for to be hang.
        

        Read more",NULL,1,259
"Mondo sì - Tartaruga","Alessandra Bisi",2019,Painting,"Unique work","100 x 100 x 1 cm (Height x Width x Depth)","Painting on wood","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionSent with hook, ready to hang.
        

        Read more",NULL,1,260
"It was hot the sun","Alessandra Bisi",2018,Painting,"Unique work","56 x 76 x 0.4 cm (Height x Width x Depth)","Painting on paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,261
"Mondo Sì - The Gorilla","Alessandra Bisi",2019,Painting,"Unique work","100 x 100 x 1 cm (Height x Width x Depth)","Painting on wood","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionSent with hook, ready to hang.
        

        Read more",NULL,1,262
"For the heart ","Alessandra Bisi",2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,263
"Still air Blue","Alessandra Bisi",2018,Painting,"Unique work","76 x 56 x 0.1 cm (Height x Width x Depth)","Painting on paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,264
"Serene green","Alessandra Bisi",2015,Painting,"Unique work","56 x 76 x 0.4 cm (Height x Width x Depth)","Painting on paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,265
"Mondo Sì - The Condor","Alessandra Bisi",2019,Painting,"Unique work","100 x 100 x 1 cm (Height x Width x Depth)","Painting on wood","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionSent with hook, ready to hang.
        

        Read more",NULL,1,266
"Born green","Alessandra Bisi",2019,Painting,"Unique work","60 x 60 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,267
"Lub (Red and blue chords collection)","Alessandra Bisi",2019,Painting,"Unique work","30 x 21 x 0.1 cm (Height x Width x Depth)","Painting on paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionNeed a frame.
        

        Read more",NULL,1,268
"A green day 3","Alessandra Bisi",2021,Painting,"Unique work","70 x 50 x 0.1 cm (Height x Width x Depth)","Painting on paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,269
"North yellow "Collection the sun comes out"","Alessandra Bisi",2021,Painting,"Unique work","30 x 21 x 0.1 cm (Height x Width x Depth)","Painting on paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,270
"A green day 1","Alessandra Bisi",2021,Painting,"Unique work","50 x 70 x 0.1 cm (Height x Width x Depth)","Painting on paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,271
"A green day 2","Alessandra Bisi",2021,Painting,"Unique work","50 x 70 x 0.1 cm (Height x Width x Depth)","Painting on paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,272
"Vrey (red and blue collection)","Alessandra Bisi",2019,Painting,"Unique work","21 x 30 x 0.1 cm (Height x Width x Depth)","Painting on paper","Red wood frame with glass","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,273
"Polvere di luce","Alessandra Bisi",2015,Painting,"Unique work","56.5 x 76 x 0.2 cm (Height x Width x Depth)","Painting on paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionNeeds frame to hang.
        

        Read more",NULL,1,274
"Red parties vertical","Alessandra Bisi",2020,Painting,"Unique work","30 x 21 x 0.1 cm (Height x Width x Depth)","Painting on paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,275
"Urban barriera margine confine","Alessandra Bisi",1997,Painting,"Unique work","60 x 100 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,276
"Bambola rotta Little stories of dolls with face powder","Alessandra Bisi",2018,Painting,"Unique work","24 x 32 x 0.1 cm (Height x Width x Depth)","Painting on paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionIt needs a frame to be hung.
        

        Read more",NULL,1,277
"Flat iron","Benoit Havard",2020,Painting,"Unique work","100 x 100 x 2.5 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,37,278
"Seven avenue de nuit","Benoit Havard",2020,Painting,"Unique work","100 x 100 x 2.5 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,279
"NY 5eme avenue","Benoit Havard",2020,Painting,"Unique work","100 x 100 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,280
"Street of New York","Benoit Havard",2020,Painting,"Unique work","90 x 90 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,281
"NY Vie urbaine","Benoit Havard",2020,Painting,"Unique work","89 x 130 x 2.5 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,282
"Central park ","Benoit Havard",2012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,283
"Nuit sur Piccadilly circus","Benoit Havard",2020,Painting,"Unique work","80 x 80 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,284
"Paris Place Vendome","Benoit Havard",2020,Painting,"Unique work","90 x 90 x 2.5 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,285
"Lexington avenue","Benoit Havard",2020,Painting,"Unique work","80 x 80 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,286
"Sunset Manhattan","Benoit Havard",2021,Painting,"Unique work","80 x 80 x 3 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,287
"Femme assise","Ivan Tzonev",2016,Painting,"Unique work","50 x 50 x 1 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,2,288
"Twerking Lisa (Fluo Pink)","Ziegler T",2020,Painting,"Numbered and limited to 25 copies
","56 x 76 x 0.1 cm (Height x Width x Depth)","Painting on Arches paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionStencil painting on BFK Rives 250g black paper with fringed edges.
        

        Read more",NULL,1,289
"Twerking Lisa (Blue)","Ziegler T",2020,Painting,"Numbered and limited to 25 copies
","56 x 76 x 0.1 cm (Height x Width x Depth)","Painting on Arches paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionStencil painting on BFK Rives 250g black paper with fringed edges.
        

        Read more",NULL,1,290
"Pole (rose fluo)","Ziegler T",2020,Painting,"Numbered and limited to 5 copies
","76 x 56 cm (Height x Width x Depth)","Painting on Arches paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,291
"Pole (violet fluo)","Ziegler T",2020,Painting,"Numbered and limited to 5 copies
","76 x 56 cm (Height x Width x Depth)","Painting on Arches paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,292
"Pole (american flag)","Ziegler T",2020,Painting,"Numbered and limited to 5 copies
","76 x 56 cm (Height x Width x Depth)","Painting on Arches paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,293
"Pole (orange fluo)","Ziegler T",2020,Painting,"Numbered and limited to 5 copies
","76 x 56 cm (Height x Width x Depth)","Painting on Arches paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,294
"Twerking Lisa","Ziegler T",2020,Painting,"Unique work","86 x 66 x 6 cm (Height x Width x Depth)","Painting on wood","Pink wood frame","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionStencil painting on BFK Rives 250g black paper with fringed edges.
        

        Read more",NULL,1,295
"Twerking Lisa (Fluo Yellow)","Ziegler T",2020,Painting,"Numbered and limited to 25 copies
","56 x 76 x 0.1 cm (Height x Width x Depth)","Painting on Arches paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionStencil painting on BFK Rives 250g black paper with fringed edges.
        

        Read more",NULL,40,296
"Next Generation","Ziegler T",2020,Painting,"Numbered and limited to 25 copies
","56 x 76 x 0.1 cm (Height x Width x Depth)","Painting on Arches paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionStencil painting on BFK Rives 250g black paper with fringed edges.
        

        Read more",NULL,1,297
"Not Your Toy (blue/magenta)","Ziegler T",2021,Painting,"Numbered and limited to 5 copies
","56 x 76 x 0.1 cm (Height x Width x Depth)","Painting on Arches paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionStencil painting on BFK Rives 250g black paper with fringed edges.
        

        Read more",NULL,1,298
"Landscape sketch 24","Li Dongfeng",2016,Painting,"Unique work","33 x 33 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionLandscape mountain and water series, Chinese technique.
        

        Read more",NULL,1,299
"Landscape du pays nord west de la Chine 2","Li Dongfeng",2017,Painting,"Unique work","33 x 33 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionLandscape mountain and water series with the particular Chinese technique.
        

        Read more",NULL,1,300
"Not Your Toy","Ziegler T",2021,Painting,"Unique work","76 x 56 x 0.1 cm (Height x Width x Depth)","Painting on Arches paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionStencil painting on BFK Rives 250g black paper with fringed edges.
        

        Read more",NULL,1,301
"Amour et Psyché Halftone","Ziegler T",2021,Painting,"Numbered and limited to 5 copies
","76 x 56 cm (Height x Width x Depth)","Painting on Arches paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionStencil paint, spray can, Posca and ink on 300g watercolor Arches paper.
        

        Read more",NULL,1,302
"Not Your Toy (Fluo Yellow/Pink)","Ziegler T",2021,Painting,"Numbered and limited to 5 copies
","76 x 56 x 0.1 cm (Height x Width x Depth)","Painting on Arches paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionStencil painting on BFK Rives 250g black paper with fringed edges.
        

        Read more",NULL,1,303
"Landscape pays nord west de la Chine 1","Li Dongfeng",2017,Painting,"Unique work","33 x 33 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionLandscape mountain and water series with the particular Chinese technique.
        

        Read more",NULL,1,304
"Landscape sketch 18","Li Dongfeng",2016,Painting,"Unique work","33 x 33 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionLandscape mountain and water series, Chinese technique.
        

        Read more",NULL,1,305
Lotus,"Li Dongfeng",2016,Painting,"Unique work","33 x 33 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,1,306
"Landscape du pays nord west de la Chine 4","Li Dongfeng",2017,Painting,"Unique work","33 x 33 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionLandscape mountain and water series with the particular Chinese technique.
        

        Read more",NULL,1,307
"Landscape du pays nord west de la Chine 3","Li Dongfeng",2017,Painting,"Unique work","33 x 33 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionLandscape mountain and water series with the particular Chinese technique.
        

        Read more",NULL,1,308
"Landscape pays nord west de la Chine 6","Li Dongfeng",2017,Painting,"Unique work","33 x 33 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionLandscape mountain and water series with the particular Chinese technique.
        

        Read more",NULL,1,309
"Landscape du pays nord west de la Chine 8","Li Dongfeng",2017,Painting,"Unique work","33 x 33 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionLandscape mountain and water series with the particular Chinese technique.
        

        Read more",NULL,1,310
"Landscape du pays nord west de la Chine 9","Li Dongfeng",2017,Painting,"Unique work","33 x 33 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionLandscape mountain and water series with the particular Chinese technique.
        

        Read more",NULL,1,311
"Landscape sketch 46","Li Dongfeng",2017,Painting,"Unique work","50 x 50 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Black aluminium frame with glass","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionLandscape mountain and water series with the particular Chinese technique.
        

        Read more",NULL,1,312
"Landscape du pays nord west de la Chine 7","Li Dongfeng",2017,Painting,"Unique work","33 x 33 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionLandscape mountain and water series with the particular Chinese technique.
        

        Read more",NULL,1,313
"Landscape du pays nord west de la Chine 5","Li Dongfeng",2017,Painting,"Unique work","33 x 33 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionLandscape mountain and water series with the particular Chinese technique.
        

        Read more",NULL,1,314
"Fleur 1","Li Dongfeng",2017,Painting,"Unique work","40 x 28 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Black wood frame with plexiglass","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionFlower series with traditional Chinese technique and mixture of pencil strokes like cartoon.
        

        Read more",NULL,1,315
"Fleur 2","Li Dongfeng",2017,Painting,"Unique work","40 x 28 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Black wood frame with glass","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionFlower series with traditional Chinese technique and mixture of pencil strokes like cartoon.
        

        Read more",NULL,1,316
"Fleur 3","Li Dongfeng",2017,Painting,"Unique work","40 x 28 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Black wood frame with glass","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionFlower series with traditional Chinese technique and mixture of pencil strokes like cartoon.
        

        Read more",NULL,1,317
"Paysage II","Li Dongfeng",2018,Painting,"Unique work","50 x 40 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Black aluminium frame with glass","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionMountainous landscape series with special Chinese technique.
        

        Read more",NULL,1,318
"Landscape sketch 49","Li Dongfeng",2017,Painting,"Unique work","28 x 40 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Black wood frame with glass","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionLandscape series with traditional Chinese technique mixing cartoon pencil strokes.
        

        Read more",NULL,1,319
"Landscape sketch 48","Li Dongfeng",2017,Painting,"Unique work","28 x 40 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Black wood frame with glass","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionLandscape series with traditional Chinese technique and mixture of pencil lines like cartoon.
        

        Read more",NULL,1,320
"Série Landscape Sketch - 53","Li Dongfeng",2015,Painting,"Unique work","40 x 28 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Black wood frame with glass","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition"Landscape". Traditional Chinese technical.
        

        Read more",NULL,1,321
"Landscape sketch 52","Li Dongfeng",2017,Painting,"Unique work","40 x 28 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Black wood frame with glass","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionLandscape mountain and water series with the particular Chinese technique.
        

        Read more",NULL,1,322
"Landscape sketch 50","Li Dongfeng",2015,Painting,"Unique work","28 x 40 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Black wood frame with glass","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionLandscape series with traditional Chinese technique.
        

        Read more",NULL,1,323
"Série Landscape Sketch - 54","Li Dongfeng",2015,Painting,"Unique work","40 x 28 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Black wood frame with glass","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition"Landscape". Traditional Chinese technical.
        

        Read more",NULL,1,324
"Landscape sketch 58","Li Dongfeng",2017,Painting,"Unique work","50 x 50 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Black wood frame with glass","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionLandscape mountain and water series with the particular Chinese technique.
        

        Read more",NULL,1,325
"Paysage 4","Li Dongfeng",2018,Painting,"Unique work","70 x 45 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Black wood frame with glass","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionMountainous landscape series with special Chinese technique.
        

        Read more",NULL,1,326
"Paysage III","Li Dongfeng",2018,Painting,"Unique work","50 x 50 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Black aluminium frame with glass","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionLandscape series with the innovative technique of traditional Chinese method.
        

        Read more",NULL,1,327
"Paysage 6","Li Dongfeng",2018,Painting,"Unique work","50 x 50 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Black aluminium frame with glass","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionLandscape series with the innovative technique of traditional Chinese method.
        

        Read more",NULL,1,328
"Paysage 7","Li Dongfeng",2018,Painting,"Unique work","50 x 50 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Black aluminium frame with glass","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionLandscape series with the innovative technique of traditional Chinese method.
        

        Read more",NULL,1,329
"La boite à fil",Tarek,2015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,330
"Paysage 5","Li Dongfeng",2018,Painting,"Unique work","50 x 50 x 1 cm (Height x Width x Depth)","Painting on cotton paper","Black aluminium frame with glass","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionThe unique work, landscape series by innovating the traditional Chinese technique.
        

        Read more",NULL,1,331
"Spleen de Paris",Tarek,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,332
Space,Tarek,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,333
"Big Data #2",Tarek,2017,Sculpture,"Unique work","24 x 24 x 2 cm (Height x Width x Depth)",NULL,NULL,"Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionSeries in which the artist uses electronic objects to stage them with ecology, technology or even AI as a background. One of his paintings served as the cover of a novel of anticipation by Phoebus.
        

        Read more",NULL,1,334
"Au commencement",Tarek,2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,335
"Dark Knight",Tarek,2020,Painting,"Unique work","19 x 24 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionAcrylic painting and Posca painting markers on canvas mounted on chassis.
        

        Read more",NULL,42,336
"The white Venus",Tarek,2018,Painting,"Unique work","30 x 30 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect condition",NULL,44,337
Cubik,Tarek,2019,Painting,"Unique work","24 x 19 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionThis series is linked to the Geometrik series since I decided to deconstruct my compositions after spending time developing increasingly complex shapes by sometimes inserting images, lettering or even acrylic backgrounds.

Most of the pieces were painted with acrylics, inks and Posca.
        

        Read more",NULL,1,338
Masqué,Tarek,2019,Painting,"Unique work","30 x 30 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionThe idea of customizing masks is not recent in Tarek's work since he has already made some pieces between 2010 and 2018. During his stay in Cameroon during which he painted walls, share with other painters or to discuss with the people who discovered his work, he acquired many African masks. Back in France, he customized some of them and painted a large series of canvases entitled “Mask (s)”… This theme has been close to his heart for a long time since on many occasions he painted canvases with masks and made several drawings on this theme. His series “Tribal” just like “Man of the woods” also generated fictitious masks of African inspiration…
        

        Read more",NULL,1,339
"In dog we trust",Tarek,2019,Painting,"Unique work","30 x 30 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionThis series is essentially devoted to works where the main subject is a character or a non-human representation: a totem, a character, a voodoo god, an African mask, etc. Most of the pieces were painted with acrylic, inks and Posca.
        

        Read more",NULL,1,340
Green,Tarek,2019,Painting,"Unique work","70 x 50 x 3 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionTarek, founder of Paris Tonkar magazine, is an artist recognized and sold around the world. He has exhibited in particular on 5 continents and is represented in more than a dozen galleries around the world. Recognized as one of the artists at the origin of modern street art in Europe, his works are prized by collectors worldwide.
        

        Read more",NULL,1,341
"Le cube",Tarek,2019,Painting,"Unique work","30 x 30 x 2 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionTarek began painting on canvas in the early 90s with the theme of geometric shapes and Skulls. In addition, he regularly sticks colored skulls in the cities where I pass… So, he naturally declined this in painting and drawing.
        

        Read more",NULL,1,342
Spiritus,Tarek,2019,Painting,"Unique work","70 x 50 x 3 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionTarek, founder of Paris Tonkar magazine, is an artist recognized and sold around the world. He has exhibited in particular on 5 continents and is represented in more than a dozen galleries around the world. Recognized as one of the artists at the origin of modern street art in Europe, his works are prized by collectors worldwide.
        

        Read more",NULL,1,343
"Le Roi",Tarek,2018,Painting,"Unique work","50 x 50 x 3 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionTarek, founder of Paris Tonkar magazine, is an artist recognized and sold around the world. He has exhibited in particular on 5 continents and is represented in more than a dozen galleries around the world. Recognized as one of the artists at the origin of modern street art in Europe, his works are prized by collectors worldwide.
        

        Read more",NULL,1,344
Mask,Tarek,2020,Painting,"Unique work","73 x 60 x 3 cm (Height x Width x Depth)","Painting on canvas on stretcher","Not framed","Hand-signed by artist","Work sold with an invoice from the galleryand a certificate of authenticity","Artwork sold in perfect conditionTarek, founder of Paris Tonkar magazine, is an artist recognized and sold around the world. He has exhibited in particular on 5 continents and is represented in more than a dozen galleries around the world. Recognized as one of the artists at the origin of modern street art in Europe, his works are prized by collectors worldwide.
        

        Read more",NULL,46,345
